86186,202,ASTRO,010L,T,06:30 PM,09:35 PM,SA114
86187,203,ASTRO,010L,TH,06:30 PM,09:35 PM,SA114
86572,201,ATH,058,TTH,09:15 AM,10:35 AM,F
86573,201,ATH,064,MW,05:00 PM,08:05 PM,F
86574,202,ATH,064,TTH,05:00 PM,08:05 PM,F
86332,201,AUTO,102,M,06:30 PM,08:20 PM,AT113
86332,201,AUTO,102,W,06:00 PM,10:35 PM,AT 129
86333,202,AUTO,102,M,06:30 PM,08:20 PM,AT113
86333,202,AUTO,102,TH,06:00 PM,10:35 PM,AT 129
86334,203,AUTO,102,MTWTH,07:30 AM,08:35 AM,AT113
86334,203,AUTO,102,MTWTH,08:45 AM,11:20 AM,AT 116
86335,204,AUTO,102,MTWTH,12:45 PM,01:50 PM,AT113
86335,204,AUTO,102,MTWTH,02:00 PM,04:35 PM,AT 116
86336,201,AUTO,103,T,06:30 PM,07:20 PM,AT113
86336,201,AUTO,103,T,07:30 PM,10:35 PM,AT 116
86337,202,AUTO,103,MTWTH,07:15 AM,08:05 AM,AT113
86337,202,AUTO,103,MTWTH,08:15 AM,11:20 AM,AT 116
86338,203,AUTO,103,MTWTH,12:45 PM,01:35 PM,AT113
86338,203,AUTO,103,MTWTH,01:45 PM,04:50 PM,AT 116
86339,201,AUTO,105,M,04:45 PM,06:35 PM,AT141
86339,201,AUTO,105,M,06:40 PM,10:45 PM,AT 129
86340,201,AUTO,106,M,06:30 PM,07:20 PM,AT143
86340,201,AUTO,106,M,07:30 PM,10:35 PM,AT 116
86341,201,AUTO,107,WTH,12:30 PM,01:20 PM,AT138
86341,201,AUTO,107,WTH,01:30 PM,04:35 PM,AT 134
86342,202,AUTO,107,MW,06:30 PM,07:20 PM,AT138
86342,202,AUTO,107,MW,07:30 PM,10:35 PM,AT 134
86343,201,AUTO,118,MTWTH,07:30 AM,09:00 AM,AT121
86343,201,AUTO,118,MTWTH,09:10 AM,12:30 PM,AT128
86344,202,AUTO,118,MW,06:00 PM,06:50 PM,AT121
86344,202,AUTO,118,MW,07:00 PM,08:50 PM,AT128
86345,201,AUTO,119,MTWTH,07:30 AM,09:20 AM,AT113
86345,201,AUTO,119,MTWTH,09:30 AM,11:20 AM,AT 116
